Rank,Name,Year,Rating,Num_user_rating
149,V for Vendetta,2005,8.1,960112
150,Det sjunde inseglet,1957,8.1,145286
151,Warrior,2011,8.1,406799
152,There Will Be Blood,2007,8.1,468491
153,Room,2015,8.1,322335
154,Trainspotting,1996,8.1,594041
155,Andhadhun,2018,8.1,46922
156,The Elephant Man,1980,8.1,202239
157,No Country for Old Men,2007,8.1,775381
158,The Sixth Sense,1999,8.1,852106
159,The Third Man,1949,8.1,146630
160,The Bridge on the River Kwai,1957,8.1,187832
161,The Thing,1982,8.1,335470
162,Shutter Island,2010,8.1,1018534
163,On the Waterfront,1954,8.1,130150
164,Gone with the Wind,1939,8.1,266655
165,Eskiya,1996,8.1,56221
166,Blade Runner,1982,8.1,635374
167,Smultronstället,1957,8.1,85310
168,Finding Nemo,2003,8.1,877525
169,Jurassic Park,1993,8.1,791729
170,Gran Torino,2008,8.1,675169
171,Fargo,1996,8.1,567094
172,The Deer Hunter,1978,8.1,286879
173,Kill Bill: Vol. 1,2003,8.1,916959
174,Tôkyô monogatari,1953,8.1,44626
175,The Big Lebowski,1998,8.1,669931
176,Stalker,1979,8.1,99740
177,The Truman Show,1998,8.1,848147
178,Mary and Max,2009,8.1,152317
179,Relatos salvajes,2014,8.1,153557
180,Hacksaw Ridge,2016,8.1,373874
181,Gone Girl,2014,8.1,771292
182,The General,1926,8.1,72542
183,Mr. Smith Goes to Washington,1939,8.1,99157
184,In the Name of the Father,1993,8.1,142931
185,Sherlock Jr.,1924,8.1,33915
186,How to Train Your Dragon,2010,8.1,617585
187,Toy Story 4,2019,8.1,82086
188,The Grand Budapest Hotel,2014,8.1,640673
189,Persona,1966,8.1,88425
190,Salinui chueok,2003,8.1,103349
191,Before Sunrise,1995,8.1,241251
192,Into the Wild,2007,8.1,528722
193,Catch Me If You Can,2002,8.1,730334
194,Cool Hand Luke,1967,8.1,150167
195,Andrei Rublev,1966,8.1,39638
196,Le salaire de la peur,1953,8.1,48833
197,12 Years a Slave,2013,8.1,583270
198,Network,1976,8.1,132795
199,Life of Brian,1979,8.1,338055
200,Rang De Basanti,2006,8.1,101686
201,La passion de Jeanne d'Arc,1928,8.1,41348
202,Prisoners,2013,8.1,533387
203,Stand by Me,1986,8.1,336840
204,Platoon,1986,8.1,354638
205,Mad Max: Fury Road,2015,8.1,790525
206,Rush,2013,8.1,397389
207,Million Dollar Baby,2004,8.1,591126
208,Hachi: A Dog's Tale,2009,8.1,226366
209,Ben-Hur,1959,8.1,203312
210,Logan,2017,8.1,571974
211,Hotel Rwanda,2004,8.0,315619
212,Amores perros,2000,8.0,208496
213,Barry Lyndon,1975,8.0,134072
214,Kaze no tani no Naushika,1984,8.0,129781
215,Spotlight,2015,8.0,370767
216,Les quatre cents coups,1959,8.0,93356
217,Harry Potter and the Deathly Hallows: Part 2,2011,8.0,699056
218,Dead Poets Society,1989,8.0,375650
219,Rebecca,1940,8.0,111958
220,Rocky,1976,8.0,477690
221,Gangs of Wasseypur,2012,8.0,70029
222,It Happened One Night,1934,8.0,85644
223,Lagaan: Once Upon a Time in India,2001,8.0,93824
224,Monsters| Inc.,2001,8.0,748975
225,El ángel exterminador,1962,8.0,25339
226,La haine,1995,8.0,133242
227,Munna Bhai M.B.B.S.,2003,8.0,65417
228,Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo| kimi ni,1997,8.0,29732
229,Ah-ga-ssi,2016,8.0,82006
230,The Princess Bride,1987,8.0,363012
231,Swades: We| the People,2004,8.0,75138
232,PK,2014,8.0,140143
233,Butch Cassidy and the Sundance Kid,1969,8.0,189015
234,Drishyam,2015,8.0,56313
235,Dil Chahta Hai,2001,8.0,61471
236,A Wednesday,2008,8.0,68420
237,The Help,2011,8.0,396187
238,Sholay,1975,8.0,46919
239,Akira,1988,8.0,142769
240,Before Sunset,2004,8.0,210793
241,The Terminator,1984,8.0,737486
242,Paris| Texas,1984,8.0,76148
243,Chak De! India,2007,8.0,67189
244,Faa yeung nin wa,2000,8.0,107389
245,Mou gaan dou,2002,8.0,111493
246,La leggenda del pianista sull'oceano,1998,8.0,52534
247,Kis Uykusu,2014,8.0,37730
248,Guardians of the Galaxy,2014,8.0,963963
249,La battaglia di Algeri,1966,8.0,47430
250,Sunrise: A Song of Two Humans,1927,8.0,43811
